
 LIST ALL SELECTED NODES.   DSYS=      0
 SORT TABLE ON  NODE  NODE  NODE

      163    10.6066017198         26.6666666667        -10.6066017157     
      164    10.6066017180         38.3333333333        -10.6066017176     
      165   -15.0000000000         50.0000000000        0.367394039744E-014
      166   -10.6066017189         50.0000000000        -10.6066017167     
      167   -15.0000000000         38.3333333333        0.367394039744E-014

   NODE        X                   Y                   Z
      168   -15.0000000000         26.6666666667        0.367394039744E-014
      169   -10.6066017208         26.6666666667        -10.6066017148     
      170   -10.6066017198         38.3333333333        -10.6066017157     
      171   0.355271367880E-014    50.0000000000         15.0000000000     
      172   -10.6066017160         50.0000000000         10.6066017195     
      173   0.222480363784E-014    26.6666666667         15.0000000000     
      174   0.288875865832E-014    38.3333333333         15.0000000000     
      175   -10.6066017198         26.6666666667         10.6066017157     
      176   -10.6066017180         38.3333333333         10.6066017176     
      177    10.6066017189         50.0000000000         10.6066017167     
      178    10.6066017208         26.6666666667         10.6066017148     
      179    10.6066017198         38.3333333333         10.6066017157     
      180    15.0000000000        -50.0000000000       -0.183697019872E-014
      181   0.355271367880E-014   -50.0000000000         15.0000000000     
      182    10.6066017189        -50.0000000000         10.6066017167     
      183    15.0000000000        -38.3333333333       -0.183697019872E-014
      184    15.0000000000        -26.6666666667       -0.183697019872E-014
      185  -0.203183100275E-015   -26.6666666667         15.0000000000     
      186   0.167476528926E-014   -38.3333333333         15.0000000000     
      187    10.6066017208        -26.6666666667         10.6066017148     

   NODE        X                   Y                   Z
      188    10.6066017198        -38.3333333333         10.6066017157     
      189   -15.0000000000        -50.0000000000        0.367394039744E-014
      190   -15.0000000000        -38.3333333333        0.367394039744E-014
      191   -15.0000000000        -26.6666666667        0.367394039744E-014
      192   -10.6066017160        -50.0000000000         10.6066017195     
      193   -10.6066017180        -38.3333333333         10.6066017176     
      194   -10.6066017198        -26.6666666667         10.6066017157     
      195  -0.266453525910E-014   -50.0000000000        -15.0000000000     
      196   -10.6066017189        -50.0000000000        -10.6066017167     
      197  -0.262245466121E-014   -26.6666666667        -15.0000000000     
      198  -0.264349496016E-014   -38.3333333333        -15.0000000000     
      199   -10.6066017208        -26.6666666667        -10.6066017148     
      200   -10.6066017198        -38.3333333333        -10.6066017157     
      201    10.6066017160        -50.0000000000        -10.6066017195     
      202    10.6066017180        -38.3333333333        -10.6066017176     
      203    10.6066017198        -26.6666666667        -10.6066017157     
      204  -0.177635683940E-014   -15.0000000000        -50.0000000000     
      205    15.0000000000         0.00000000000        -50.0000000000     
      206    10.6066017160        -10.6066017195        -50.0000000000     
      207    15.0000000000         0.00000000000        -38.3333333333     

   NODE        X                   Y                   Z
      208    15.0000000000         0.00000000000        -26.6666666667     
      209  -0.232639518798E-014   -15.0000000000        -26.6666666667     
      210  -0.205137601369E-014   -15.0000000000        -38.3333333333     
      211    10.6066017198        -10.6066017157        -26.6666666667     
